DXCode,Description,"2020 CMS-HCC
Model
Category
(V24) ",V24 HCC Description,V28ID,V28HCCDescription,"2020 CMS-HCC Model
Category
(V24) for 2024
Payment Year","2024 Proposed CMS-HCC Model
Category
(V28) for 2024
Payment Year",Same HCC Description  
A0103,Typhoid pneumonia,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A0104,Typhoid arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A0105,Typhoid osteomyelitis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A021,Salmonella sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A0222,Salmonella pneumonia,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A0223,Salmonella arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A0224,Salmonella osteomyelitis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A065,Amebic lung abscess,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",283,"Empyema, Lung Abscess",Yes,Yes,NO
A072,Cryptosporidiosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
A202,Pneumonic plague,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A207,Septicemic plague,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A212,Pulmonary tularemia,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A221,Pulmonary anthrax,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A227,Anthrax sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A267,Erysipelothrix sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A310,Pulmonary mycobacterial infection,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
A327,Listerial sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A3681,Diphtheritic cardiomyopathy,85,Congestive Heart Failure,227,Cardiomyopathy/Myocarditis,Yes,Yes,NO
A391,Waterhouse-Friderichsen syndrome,23,Other Significant Endocrine and Metabolic Disorders,,,Yes,No,NO
A392,Acute meningococcemia,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A393,Chronic meningococcemia,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A394,"Meningococcemia, unspecified",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A3983,Meningococcal arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A3984,Postmeningococcal arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A400,"Sepsis due to streptococcus, group A",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A401,"Sepsis due to streptococcus, group B",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A403,Sepsis due to Streptococcus pneumoniae,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A408,Other streptococcal sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A409,"Streptococcal sepsis, unspecified",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A411,Sepsis due to other specified staphylococcus,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A412,Sepsis due to unspecified staphylococcus,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A413,Sepsis due to Hemophilus influenzae,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A414,Sepsis due to anaerobes,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A4150,"Gram-negative sepsis, unspecified",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A4151,Sepsis due to Escherichia coli [E. coli],2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A4152,Sepsis due to Pseudomonas,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A4153,Sepsis due to Serratia,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A4159,Other Gram-negative sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A4181,Sepsis due to Enterococcus,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A4189,Other specified sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A419,"Sepsis, unspecified organism",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A420,Pulmonary actinomycosis,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A427,Actinomycotic sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A430,Pulmonary nocardiosis,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A480,Gas gangrene,106,Atherosclerosis of the Extremities with Ulceration or Gangrene,263,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene,Yes,Yes,NO
A481,Legionnaires' disease,114,Aspiration and Specified Bacterial Pneumonias,282,Aspiration and Specified Bacterial Pneumonias,Yes,Yes,SAME
A483,Toxic shock syndrome,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A5055,Late congenital syphilitic arthropathy,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A5440,"Gonococcal infection of musculoskeletal system, unspecified",39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A5441,Gonococcal spondylopathy,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A5442,Gonococcal arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A5443,Gonococcal osteomyelitis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A5449,Gonococcal infection of other musculoskeletal tissue,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A5484,Gonococcal pneumonia,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
A5485,Gonococcal peritonitis,33,Intestinal Obstruction/Perforation,78,Intestinal Obstruction/Perforation,Yes,Yes,SAME
A5486,Gonococcal sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
A666,Bone and joint lesions of yaws,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A6923,Arthritis due to Lyme disease,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
A8100,"Creutzfeldt-Jakob disease, unspecified",52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
A8101,Variant Creutzfeldt-Jakob disease,52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
A8109,Other Creutzfeldt-Jakob disease,52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
A811,Subacute sclerosing panencephalitis,52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
A812,Progressive multifocal leukoencephalopathy,52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
A8181,Kuru,52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
A8182,Gerstmann-Straussler-Scheinker syndrome,52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
A8183,Fatal familial insomnia,52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
A8189,Other atypical virus infections of central nervous system,52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
A819,"Atypical virus infection of central nervous system, unspecified",52,Dementia Without Complication,127,"Dementia, Mild or Unspecified",Yes,Yes,NO
B007,Disseminated herpesviral disease,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
B0082,Herpes simplex myelitis,72,Spinal Cord Disorders/Injuries,182,Spinal Cord Disorders/Injuries,Yes,Yes,SAME
B0112,Varicella myelitis,72,Spinal Cord Disorders/Injuries,182,Spinal Cord Disorders/Injuries,Yes,Yes,SAME
B0224,Postherpetic myelitis,72,Spinal Cord Disorders/Injuries,182,Spinal Cord Disorders/Injuries,Yes,Yes,SAME
B0682,Rubella arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
B180,Chronic viral hepatitis B with delta-agent,29,Chronic Hepatitis,65,Chronic Hepatitis,Yes,Yes,SAME
B181,Chronic viral hepatitis B without delta-agent,29,Chronic Hepatitis,65,Chronic Hepatitis,Yes,Yes,SAME
B182,Chronic viral hepatitis C,29,Chronic Hepatitis,65,Chronic Hepatitis,Yes,Yes,SAME
B188,Other chronic viral hepatitis,29,Chronic Hepatitis,65,Chronic Hepatitis,Yes,Yes,SAME
B189,"Chronic viral hepatitis, unspecified",29,Chronic Hepatitis,65,Chronic Hepatitis,Yes,Yes,SAME
B20,Human immunodeficiency virus [HIV] disease,1,HIV/AIDS,1,HIV/AIDS,Yes,Yes,SAME
B250,Cytomegaloviral pneumonitis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B251,Cytomegaloviral hepatitis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B252,Cytomegaloviral pancreatitis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B258,Other cytomegaloviral diseases,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B259,"Cytomegaloviral disease, unspecified",6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B2685,Mumps arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
B3324,Viral cardiomyopathy,85,Congestive Heart Failure,227,Cardiomyopathy/Myocarditis,Yes,Yes,NO
B371,Pulmonary candidiasis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B377,Candidal sepsis,2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",Yes,Yes,SAME
B377,Candidal sepsis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B3781,Candidal esophagitis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B380,Acute pulmonary coccidioidomycosis,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B381,Chronic pulmonary coccidioidomycosis,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B382,"Pulmonary coccidioidomycosis, unspecified",115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B390,Acute pulmonary histoplasmosis capsulati,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B391,Chronic pulmonary histoplasmosis capsulati,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B392,"Pulmonary histoplasmosis capsulati, unspecified",115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B400,Acute pulmonary blastomycosis,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B401,Chronic pulmonary blastomycosis,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B402,"Pulmonary blastomycosis, unspecified",115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B410,Pulmonary paracoccidioidomycosis,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B4282,Sporotrichosis arthritis,39,Bone/Joint/Muscle Infections/Necrosis,92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Yes,Yes,NO
B440,Invasive pulmonary aspergillosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B441,Other pulmonary aspergillosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B442,Tonsillar aspergillosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B447,Disseminated aspergillosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B4481,Allergic bronchopulmonary aspergillosis,112,Fibrosis of Lung and Other Chronic Lung Disorders,280,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",Yes,Yes,NO
B4489,Other forms of aspergillosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B449,"Aspergillosis, unspecified",6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B450,Pulmonary cryptococcosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B451,Cerebral cryptococcosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B452,Cutaneous cryptococcosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B453,Osseous cryptococcosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B457,Disseminated cryptococcosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B458,Other forms of cryptococcosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B459,"Cryptococcosis, unspecified",6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B460,Pulmonary mucormycosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B461,Rhinocerebral mucormycosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B462,Gastrointestinal mucormycosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B463,Cutaneous mucormycosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B464,Disseminated mucormycosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B465,"Mucormycosis, unspecified",6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B468,Other zygomycoses,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B469,"Zygomycosis, unspecified",6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B484,Penicillosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B488,Other specified mycoses,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B582,Toxoplasma meningoencephalitis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B583,Pulmonary toxoplasmosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B59,Pneumocystosis,6,Opportunistic Infections,6,Opportunistic Infections,Yes,Yes,SAME
B664,Paragonimiasis,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B671,Echinococcus granulosus infection of lung,115,"Pneumococcal Pneumonia, Empyema, Lung Abscess",,,Yes,No,NO
B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",1,HIV/AIDS,1,HIV/AIDS,Yes,Yes,SAME
C01,Malignant neoplasm of base of tongue,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C020,Malignant neoplasm of dorsal surface of tongue,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C021,Malignant neoplasm of border of tongue,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C022,Malignant neoplasm of ventral surface of tongue,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C024,Malignant neoplasm of lingual tonsil,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C028,Malignant neoplasm of overlapping sites of tongue,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C029,"Malignant neoplasm of tongue, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C030,Malignant neoplasm of upper gum,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C031,Malignant neoplasm of lower gum,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C039,"Malignant neoplasm of gum, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C040,Malignant neoplasm of anterior floor of mouth,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C041,Malignant neoplasm of lateral floor of mouth,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C048,Malignant neoplasm of overlapping sites of floor of mouth,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C049,"Malignant neoplasm of floor of mouth, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C050,Malignant neoplasm of hard palate,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C051,Malignant neoplasm of soft palate,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C052,Malignant neoplasm of uvula,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C058,Malignant neoplasm of overlapping sites of palate,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C059,"Malignant neoplasm of palate, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C060,Malignant neoplasm of cheek mucosa,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C061,Malignant neoplasm of vestibule of mouth,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C062,Malignant neoplasm of retromolar area,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C0689,Malignant neoplasm of overlapping sites of other parts of mouth,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C069,"Malignant neoplasm of mouth, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C07,Malignant neoplasm of parotid gland,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C080,Malignant neoplasm of submandibular gland,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C081,Malignant neoplasm of sublingual gland,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C089,"Malignant neoplasm of major salivary gland, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C090,Malignant neoplasm of tonsillar fossa,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C098,Malignant neoplasm of overlapping sites of tonsil,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C099,"Malignant neoplasm of tonsil, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C100,Malignant neoplasm of vallecula,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C101,Malignant neoplasm of anterior surface of epiglottis,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C102,Malignant neoplasm of lateral wall of oropharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C103,Malignant neoplasm of posterior wall of oropharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C104,Malignant neoplasm of branchial cleft,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C108,Malignant neoplasm of overlapping sites of oropharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C109,"Malignant neoplasm of oropharynx, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C110,Malignant neoplasm of superior wall of nasopharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C111,Malignant neoplasm of posterior wall of nasopharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C112,Malignant neoplasm of lateral wall of nasopharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C113,Malignant neoplasm of anterior wall of nasopharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C118,Malignant neoplasm of overlapping sites of nasopharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C119,"Malignant neoplasm of nasopharynx, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C12,Malignant neoplasm of pyriform sinus,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C130,Malignant neoplasm of postcricoid region,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C132,Malignant neoplasm of posterior wall of hypopharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C138,Malignant neoplasm of overlapping sites of hypopharynx,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C139,"Malignant neoplasm of hypopharynx, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C140,"Malignant neoplasm of pharynx, unspecified",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C142,Malignant neoplasm of Waldeyer's ring,11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",11,"Colorectal, Bladder, and Other Cancers",21,Lymphoma and Other Cancers,Yes,Yes,NO
